23,Kue Cream,100,129260,1293,25852,20
26,Lapis Legit,20,45825,2291,114563,50
32,Tuna Mentai,60,198053,3301,6602,2
40,croissant coklat,15,55034,3669,9172.25,2.5
41,choco chip cookies,7,102002,14572,43715.1,3
42,nastar cookies,5,160097,35577,106731,3
43,Almond London,4,126854,42285,126854,3
44,Pastel,100,173541,1735,4338.52,2.5
45,sosis solo,192,450986,2349,4697.77,2
47,Risol Mayo,56,128912,2302,6905.97,3
48,Tahu Sakura,88,123008,1398,4193.45,3
49,Risol Rogud,60,126892,2115,5287.17,2.5
50,lontong mie,50,130236,2605,6511.8,2.5
51,Sambosa,60,110672,1845,5533.6,3
52,Kroket,40,150212,3755,7510.6,2
53,Lumpia,150,361963,2413,6032.72,2.5
54,Ketan Gurih,60,86801,1447,4340.05,3
57,Putri Salju,3,66677,26671,80012.4,3
58,Cake Tape,1,42182,42182,105455,2.5
59,Cream Vanila,20,23173,1852,5554.95,3
60,Japanese Puding,4,34002,8501,25501.5,3
